BEAM        RA(J2000)  DEC(J2000)
	    
PLMC073_04  05:12:18.3 -68:47:29.3
PLMC073_05  05:17:39.9 -68:47:24.0
PLMC073_06  05:20:27.7 -69:12:18.0
PLMC073_07  05:17:48.0 -69:37:46.6
PLMC073_08  05:15:01.8 -70:03:28.1
PLMC073_09  05:06:35.8 -69:37:28.5
PLMC073_10  05:06:53.0 -68:46:44.7
PLMC073_11  05:14:58.3 -68:21:57.6
PLMC073_12  05:23:04.8 -68:46:28.7
PLMC073_13  05:23:25.8 -69:37:11.8
PLMC074_01  05:17:37.0 -69:12:37.9
PLMC074_02  05:12:09.2 -69:12:22.7
PLMC074_03  05:14:55.5 -68:47:23.8
PLMC074_04  05:20:17.1 -68:47:19.6
PLMC074_05  05:23:04.7 -69:12:14.2
PLMC074_06  05:20:24.8 -69:37:42.2
PLMC074_07  05:14:50.5 -69:37:46.6
PLMC074_08  05:09:12.6 -69:37:21.8
PLMC074_09  05:09:30.5 -68:46:38.1
PLMC074_10  05:17:35.6 -68:21:52.7
PLMC074_11  05:25:42.0 -68:46:25.5
PLMC074_12  05:26:02.6 -69:37:08.7
PLMC074_13  05:17:38.4 -70:03:23.2
PLMC075a_01 05:16:18.0 -69:00:33.9
PLMC075a_02 05:13:33.0 -69:25:42.4
PLMC075a_03 05:10:53.2 -69:00:18.5
PLMC075a_04 05:13:38.0 -68:35:19.6
PLMC075a_05 05:18:56.7 -68:35:15.9
PLMC075a_06 05:21:42.7 -69:00:10.9
PLMC075a_07 05:19:04.1 -69:25:38.5
PLMC075a_08 05:16:19.2 -69:51:19.2
PLMC075a_09 05:07:58.3 -69:25:17.5
PLMC075a_10 05:08:15.9 -68:34:33.9
PLMC075a_11 05:16:16.8 -68:09:48.7
PLMC075a_12 05:24:18.7 -68:34:22.6
PLMC075a_13 05:24:38.8 -69:25:05.9
PLMC075b_01 05:16:18.0 -69:00:33.9
PLMC075b_02 05:10:53.2 -69:00:19.3
PLMC075b_03 05:13:37.9 -68:35:20.0
PLMC075b_04 05:18:56.6 -68:35:15.5
PLMC075b_05 05:21:42.7 -69:00:10.1
PLMC075b_06 05:19:04.3 -69:25:38.1
PLMC075b_07 05:13:33.1 -69:25:42.8
PLMC075b_08 05:07:58.4 -69:25:18.8
PLMC075b_09 05:08:15.8 -68:34:35.1
PLMC075b_10 05:16:16.5 -68:09:48.7
PLMC075b_11 05:24:18.6 -68:34:21.4
PLMC075b_12 05:24:38.9 -69:25:04.6
PLMC075b_13 05:16:19.5 -69:51:19.2
PLMC076_01  05:03:52.0 -70:24:14.1 #05:13:41.0 -69:00:33.9
PLMC076_02  05:01:15.4 -69:58:21.0 #05:10:56.2 -69:25:43.0
PLMC076_03  05:06:55.0 -69:59:37.0 #05:08:16.2 -69:00:19.6
PLMC076_04  05:09:38.9 -70:25:11.0 #05:11:00.8 -68:35:20.2
PLMC076_05  05:06:35.4 -70:49:58.4 #05:16:19.5 -68:35:15.3
